;DefaultDisplayName;DefaultCategory;Behaviors;DisplayOrder;DefaultIconBlockOffset;DefaultIconViewOffset;DefaultIconViewScale;FirstPersonScale;FirstPersonOffset;FirstPersonRotation;InHandScale;InHandOffset;InHandRotation;CraftingId;DefaultCreativeData;IsCollidable;IsPlaceable;IsDiggingTransparent;IsPlacementTransparent;DefaultIsInteractive;IsEditable;IsNonDuplicable;IsGatherable;HasCollisionBehavior;KillsWhenStuck;IsFluidBlocker;IsTransparent;DefaultShadowStrength;LightAttenuation;EmittedLightAmount;ObjectShadowStrength;DefaultDropContent;DefaultDropCount;DefaultExperienceCount;RequiredToolLevel;MaxStacking;MaxInHandStacking;SleepSuitability;FrictionFactor;Density;NoAutoJump;NoSmoothRise;FuelHeatLevel;FuelFireDuration;DefaultSoundMaterialName;ShovelPower;QuarryPower;HackPower;DefaultMeleePower;DefaultMeleeHitProbability;DefaultProjectilePower;ToolLevel;PlayerLevelRequired;Durability;IsAimable;IsStickable;AlignToVelocity;ProjectileSpeed;ProjectileDamping;ProjectileTipOffset;DisintegratesOnHit;ProjectileStickProbability;DefaultHeat;FireDuration;ExplosionResilience;DefaultExplosionPressure;DefaultExplosionIncendiary;IsExplosionTransparent;DigMethod;DigResilience;ProjectileResilience;DefaultNutritionalValue;DefaultSicknessProbability;FoodType;DefaultRotPeriod;DefaultTextureSlot;DestructionDebrisScale;DefaultDescription
ElementBlock;Element;Items;ElectricBlockBehavior;300;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;element;0;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;0;0;0;1;#;1;;0;10;10;0.5;1;0.5;FALSE;FALSE;0;0;Metal;1;1;1;1;0.66;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.9;;0;20;;FALSE;FALSE;Hack;5;1;;;;;4;1;
DrillerBlock;自动挖掘机;Items;ElectricBlockBehavior;301;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;driller;0;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;;0;1;1;0.5;1;0.5;FALSE;FALSE;0;0;Metal;1;1;1;1;0.66;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.9;;0;20;;FALSE;FALSE;Hack;5;1;;;;;4;1;自动挖掘机有类似于箱子的方式存储物品，允许通过发射孔分配物品，并通过电信号的通断沿发射孔发射物品。 它可以根据设置分配物品或保留物品。
CrusherBlock;自动矿物处理机;Items;;302;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;crusher;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;;0;1;1;0.5;1;0.5;FALSE;FALSE;0;0;Metal;1;1;1;1;0.66;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.9;;0;20;;FALSE;FALSE;Hack;5;1;;;;;4;1;自动矿物处理机可以在早期的工业时代用，是一台非常方便和广泛使用的机器粉碎原料矿石或岩石。
EngineBlock;蒸汽机;Items;ElectricBlockBehavior;303;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;sengine;0;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;1;1;#;1;;0;1;1;0.5;1;0.5;FALSE;FALSE;0;0;Metal;1;1;1;1;0.66;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.9;;0;20;;FALSE;FALSE;Hack;5;1;;;;;4;1;早期工业时代的象征，是一项可以解放人力劳动力的伟大发明。
DiversionBlock;换向器;Items;;304;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;diversion;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;;0;1;1;0.5;1;0.5;FALSE;FALSE;1;5;Wood;1;1;1;1;0.66;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.9;;20;5;;FALSE;FALSE;Hack;5;1;;;;;4;1;可以把击中的抛射物转向。
FurnaceNBlock;铁炉;Items;ElectricBlockBehavior;305;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;furnaceN;0;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;1;1;#;1;;0;1;1;0;1;3;FALSE;FALSE;0;0;Metal;1;1;1;1;0.66;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;10;;FALSE;FALSE;Quarry;8;1;;;;;16;1;铁炉是由耐火石和铁制成的外壳，其中通过燃烧可燃燃料来维持高温。 这是一个重要的项目，允许冶炼，烹饪和其他形式的热处理。 炉子的最佳燃料是煤块，但如果没有煤炭，可以使用木材甚至树叶。 铁炉在工作时可以无人看管。 它也会发出少量光。
PresserBlock;压板机;Items;ElectricBlockBehavior;311;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;presser;0;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;;0;1;1;0.5;1;0.5;FALSE;FALSE;0;0;Metal;1;1;1;1;0.66;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.9;;0;20;;FALSE;FALSE;Hack;5;1;;;;;4;1;压板机可以把金属材料挤压成金属板。
KibblerBlock;粉碎机;Items;ElectricBlockBehavior;317;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;kibbler;0;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;;0;1;1;0.5;1;0.5;FALSE;FALSE;0;0;Metal;1;1;1;1;0.66;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.9;;0;20;;FALSE;FALSE;Hack;5;1;;;;;4;1;一种可以粉碎大块物品的机器。
MetalBlock;;Construction;;318;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;metalblock;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;;0;4;4;0;1;10;FALSE;FALSE;0;0;Metal;1;1;1;1;0.66;2;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;2000;;FALSE;FALSE;Quarry;20;1;;;;;;1;
PresserNNBlock;枪管机;Items;ElectricBlockBehavior;322;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;riflema;0;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;;0;1;1;0.5;1;0.5;FALSE;FALSE;0;0;Metal;1;1;1;1;0.66;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.9;;0;20;;FALSE;FALSE;Hack;5;1;;;;;4;1;一种机器，可以用钢棍来获得步枪枪管。
