;DefaultDisplayName;DefaultCategory;Behaviors;DisplayOrder;DefaultIconBlockOffset;DefaultIconViewOffset;DefaultIconViewScale;FirstPersonScale;FirstPersonOffset;FirstPersonRotation;InHandScale;InHandOffset;InHandRotation;CraftingId;DefaultCreativeData;IsCollidable;IsPlaceable;IsDiggingTransparent;IsPlacementTransparent;DefaultIsInteractive;IsEditable;IsNonDuplicable;IsGatherable;HasCollisionBehavior;KillsWhenStuck;IsFluidBlocker;IsTransparent;DefaultShadowStrength;LightAttenuation;EmittedLightAmount;ObjectShadowStrength;DefaultDropContent;DefaultDropCount;DefaultExperienceCount;RequiredToolLevel;MaxStacking;MaxInHandStacking;SleepSuitability;FrictionFactor;Density;NoAutoJump;NoSmoothRise;FuelHeatLevel;FuelFireDuration;DefaultSoundMaterialName;ShovelPower;QuarryPower;HackPower;DefaultMeleePower;DefaultMeleeHitProbability;DefaultProjectilePower;ToolLevel;PlayerLevelRequired;Durability;IsAimable;IsStickable;AlignToVelocity;ProjectileSpeed;ProjectileDamping;ProjectileTipOffset;DisintegratesOnHit;ProjectileStickProbability;DefaultHeat;FireDuration;ExplosionResilience;DefaultExplosionPressure;DefaultExplosionIncendiary;IsExplosionTransparent;DigMethod;DigResilience;ProjectileResilience;DefaultNutritionalValue;DefaultSicknessProbability;FoodType;DefaultRotPeriod;DefaultTextureSlot;DestructionDebrisScale;DefaultDescription
ElementBlock;Element;Items;;300;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;element;0;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;;0;1;1;0.5;1;0.5;FALSE;FALSE;0;0;Metal;1;1;1;1;0.66;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.9;;0;20;;FALSE;FALSE;Hack;5;1;;;;;4;1;
DispenserNewBlock;AutoDriller;Items;ElectricBlockBehavior;301;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;dispenserNew;0;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;;0;1;1;0.5;1;0.5;FALSE;FALSE;0;0;Metal;1;1;1;1;0.66;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.9;;0;20;;FALSE;FALSE;Hack;5;1;;;;;4;1;An AutoDriller stores items in a similar way to a chest, but allows dispensing them through the hole and drill the block when triggered via rising edge of an electric signal. It can either dispense the item or keep it, depending on the setting.
DispenserNBlock;AutoCrusher;Items;;302;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;dispenserN;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;;0;1;1;0.5;1;0.5;FALSE;FALSE;0;0;Metal;1;1;1;1;0.66;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.9;;0;20;;FALSE;FALSE;Hack;5;1;;;;;4;1;An AutoCrusher can crush the material ore or rock in a second, a very convenient and wide-range-usded machine in early industrial era.
EngineBlock;SteamEngine;Items;;303;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;sengine;0;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;;0;1;1;0.5;1;0.5;FALSE;FALSE;0;0;Metal;1;1;1;1;0.66;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.9;;0;20;;FALSE;FALSE;Hack;5;1;;;;;4;1;The symbol of the early industrial era, an great invention that can liberate human labor force.
DispenBlock;Diversion;Items;;304;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;dispenN;0;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;;0;1;1;0.5;1;0.5;FALSE;FALSE;1;5;Wood;1;1;1;1;0.66;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.9;;20;5;;FALSE;FALSE;Hack;5;1;;;;;4;1;A Diversion can veer a projectile when hitting it.
FurnaceNBlock;IronFurnace;Items;;305;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;furnaceN;0;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;;0;1;1;0;1;3;FALSE;FALSE;0;0;Metal;1;1;1;1;0.66;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;10;;FALSE;FALSE;Quarry;8;1;;;;;16;1;An Ironfurnace is an enclosure made from fire resistant stone and iron, in which a high temperature is maintained by burning combustible fuel. It is an important item that allows smelting, cooking and other forms of heat processing. The best fuel for the furnace are coal chunks, but wood and even leaves can be used if coal is unavailable. IronFurnace can be left unattended while working. It also emits a small amount of light.
LitFurnaceNBlock;IronFurnace;Items;;306;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;furnaceN1;-1;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;0;0;13;1;#FurnaceNBlock;1;;0;1;1;0;1;3;FALSE;FALSE;0;0;Metal;1;1;1;1;0.66;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0.5;0;10;;FALSE;FALSE;Quarry;8;1;;;;;16;1;
LitEngineBlock;IronFurnace;Items;;308;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;engineN1;-1;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;0;0;13;1;#EngineBlock;1;;0;1;1;0;1;3;FALSE;FALSE;0;0;Metal;1;1;1;1;0.66;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;0.5;0;10;;FALSE;FALSE;Quarry;8;1;;;;;16;1;
PresserBlock;Presser;Items;;311;0,0,0;1, 1, 1;1;0.4;0.5, -0.5, -0.6;0, 40, 0;0.3;0,0.12,0;0, 0, 45;presser;0;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;-1;0;0;1;#;1;;0;1;1;0.5;1;0.5;FALSE;FALSE;0;0;Metal;1;1;1;1;0.66;1;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0.9;;0;20;;FALSE;FALSE;Hack;5;1;;;;;4;1;A machine that can press the metal to get metal plate.
CoalPowderBlock;CoalPowder;Items;;316;0,0,0;0, 0, 1;1;0.4;0.5, -0.5, -0.6;0, -70, 0;0.3;0,0.12,0;0, 0, 45;coalpowder;0;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;-1;0;0;0;;;;;12;40;0;1;0.5;FALSE;FALSE;1850;60;;1;1;1;1;0.66;0;1;;-1;FALSE;FALSE;FALSE;0;;0;FALSE;0;;0;;;FALSE;FALSE;;;;;;;;198;1;Coalpowder is black powder obtained by crushing coal chunk. It can be used to be fuel.
